feature_set,model,n,mean_delta,sd_delta,ci_low,ci_high,p_wilcoxon,p_adj_fdr,significant
no_TERT,LogReg,25,-0.02286722500447995,0.09932556190694639,-0.06386680187500836,0.01813235186604846,0.24718988184430282,0.24718988184430282,FALSE
no_TERT,RF,25,-0.0034283922323138324,0.011108518726993246,-0.008013763396805701,0.001156978932178037,0.17517773850881485,0.21897217313601858,FALSE
no_TVRs,LogReg,25,-0.06291934282130367,0.10878456534470023,-0.10782340440975502,-0.018015281232852315,0.01241933065155227,0.031048326628880674,TRUE
no_TVRs,RF,25,-0.08616841618802391,0.05703249071892469,-0.1097102713001944,-0.06262656107585343,1.669058871854381e-5,4.172647179635952e-5,TRUE
no_tel_content,LogReg,25,0.008718077129841855,0.03033989047615857,-0.003805614132897246,0.021241768392580955,0.10263977557690805,0.1710662926281801,FALSE
no_tel_content,RF,25,0.0017538692244574343,0.004566711672517448,-1.3117670599830083e-4,0.0036389151549131695,0.08933190708659901,0.14888651181099835,FALSE
no_tel_insert,LogReg,25,-0.04012509785058792,0.07113740629596262,-0.06948917595702506,-0.010761019744150783,0.004471110615773098,0.02235555307886549,TRUE
no_tel_insert,RF,25,-0.06818145035792098,0.056659100205063144,-0.09156917744119457,-0.04479372327464738,1.3070605478013068e-5,4.172647179635952e-5,TRUE
no_tf,LogReg,25,0.020221420554753868,0.07756203702836623,-0.011794614777203071,0.052237455886710804,0.23662979340193685,0.24718988184430282,FALSE
no_tf,RF,25,-0.0019245961010667086,0.007621529926444946,-0.005070609031585644,0.0012214168294522264,0.7794813238029825,0.7794813238029825,FALSE
